鼎呱呱老火锅	4.3	80	朝阳区小营路与小营东路交口南40米路东（中央民族乐团对面）
冷面馆	4	32	朝阳区团结湖路24号楼一层（南区口腔医院旁）
虾吃虾涮（长楹天街店）	3.9	65	朝阳区龙湖长楹天街东区后商业街E区3层328（长楹星座6栋1号观光电梯）
小渔棠（北清路店）	4.1	67	海淀区北清路68号23号楼B1层北侧
68大虾（富民街店）	4.5	50	密云区通城胡同白檀小区商业楼14号商铺
铁锅王农家餐厅	3	40	延庆区八达岭岔道村35号（八达岭岔道古城内）
虾吃虾涮（大悦城店）	3.9	68	朝阳区青年路国美第一城餐饮街2号院九号楼底商（京客隆旁边）
虾吃虾涮（光彩路店）	4.3	68	丰台区光彩路66号（光彩路66号院6号楼6号底商）
重庆鸡公堡（政府街店）	4	41	昌平区府学路33号（近昌平区科委，海友酒店东侧）
黄记煌三汁焖锅（BHGMall店）	3.9	83	顺义区新顺南大街8号BHGMall5层
京川婆婆骨汤麻辣烫（西单店）	3.5	25	西城区西单十字路口南100米路西（紧邻本家韩式料理）
老诚一锅（果园环岛店）	3.7	70	通州区通朝大街9号(果园环岛西北角)
一锅满羊蝎子火锅（十八里店）	4.1	56	朝阳区十八里店北桥东北角(加油站北侧)
蝎王府羊蝎子（虎坊桥店）	4.7	72	西城区虎坊路甲4号（虎坊桥地铁站c口 湖广会馆、工人俱乐部）
张亮麻辣烫（房山绿地店）	4.3	21	房山区长阳镇绿地启航国际6号楼底商104室
老诚一锅（学清路店）	3.4	67	海淀区学清路41号底商（裕京大厦一楼，近中国农业大学西门）
川成串 串串香火锅（磨房北里店）	4.9	67	朝阳区磨房北里215号楼川成串（农光东里路）
张老坎轻火锅（志新路店）	4.3	51	海淀区志新路16号（近北方鑫柜ktv）
渔满舱重庆火锅（昌平店）	4	64	昌平区府学路1-2号（东关路口）
阿丽斑鱼庄（洋桥店）	4	80	丰台区马家堡东路与角门北路交叉口天路蓝图大厦三层
昌平第一家特色麻辣烫（政府街店）	4.8	18	昌平区政府街酒厂综合楼9号（美尔目第二眼科医院）
东来顺饭庄（大栅栏店）	4.1	64	西城区大栅栏7号吉龙老栅栏商城2楼（同仁堂斜对面）
万珍楼大饭店	3.6	94	房山区良乡镇西潞南大街12号卓宸大厦（十二宫KTV）
宽板凳老灶火锅（天竺店）	4.7	90	顺义区天北路府前一街4号（如家酒店楼下）
蝎梁府（左家庄店）	5	62	朝阳区香河园路左家庄前街1号京华时报社前（大鸭梨隔壁）（大鸭梨隔壁）
口福居老北京涮肉（大运村店）	4.3	67	海淀区知春路29号大学生公寓7-8号楼（大学生公寓往南）
虾吃虾涮（百子湾店）	3.4	80	朝阳区百子湾桥西300米路北侧（后现代城2号楼北对面）
小羊倌旋转自助火锅（K酷时尚广场店）	3.2	39	朝阳区北苑路42号K酷时尚广场4层
提香源海鲜酒楼	4.5	100	昌平区北七家镇定泗路88号888幢，东方普罗旺斯商业街（羊各庄新村往东约200米）
老诚一锅（天通苑店）	4.5	68	昌平区天通苑五区16号楼底商(西单商场东门向南50米)
虾吃虾涮（环球新意店）	3	66	延庆区环球新意东门鑫磊小商品城内
滇草香（爱琴海购物公园店）	4.2	103	朝阳区西坝河七圣中街12号爱琴海购物公园五层
山城辣妹子重庆火锅（长楹天街购物中心店）	3.7	83	朝阳区朝阳北路常营地铁站F出口右侧龙湖长楹天街购物中心东区4楼（溜冰场东侧）
青江驴肉火烧	5	20	海淀区北三环西路金五星购物广场（九头鸟酒家南隔壁）
小牛海记潮汕牛肉店（牡丹园店）	4.9	92	海淀区花园路中城写字楼2层
福成肥牛（天竺机场分店）	4.1	84	顺义区天竺镇南平街岗山路12号（国泰对面）
新辣道鱼火锅（西直门店）	4	95	西城区西直门外大街1号西环广场凯德MALL购物中心5楼（地坛2、4、13号线）
张亮麻辣烫（工大店）	4	20	朝阳区磨房中街农光里市场东门对面
鑫隆四季涮肉（永康店）	4.3	49	通州区康定街18号院9号（近博大永康商务酒店）
蜀天情火锅（沙河店）	3.8	56	昌平区沙河镇松兰堡派柏云酒店一层
豆捞坊（来福士店）	4	90	东城区东直门南大街1号北京来福士4层
德口福涮肉	5	51	朝阳区朝阳路管庄路口东200米路南（美廉美超市停车场东侧）
邮电会议中心阳坊大都涮肉	3.7	56	海淀区挂甲屯5号会议中心酒楼1楼
龙继斑鱼庄	4.3	84	密云区西大桥路26-6号（招商大厦对面，迪曼龙东侧隔壁）
槐店•王婆大虾（怡馨家园店）	4.3	57	顺义区光明街道怡馨家园南门餐饮一条街底商（异特麻辣香锅隔壁）
福口居（北太平庄店）	5	63	海淀区北太平庄北三环中路40号（近国美）
老城一锅（东坝奥园店）	3.5	67	朝阳区东坝中路奥林匹克花园底商
